,Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
K-Neighbors (KS - inCV),7.693410429970206e-187,5.1381950728806716e-228,1.03815395561847e-252,7.677994748461068e-14,6.968178752403686e-37,2.3467969658830296e-167,7.583299593225036e-175,7.375807538487906e-168,1.7180534960092574e-119,3.640031768655052e-150,9.248157672591257e-158,2.1366947588662086e-66,1.6592959189385005e-65,1.0,2.001009717152104e-58,2.2980936476245102e-36,6.093623269979995e-105,6.093623269979995e-105,1.774458031183492e-05,2.2124944533556703e-105,1.0782841183437239e-70,1.0,1.0,1.0,0.0002795368810078345,1.0,9.971908031158427e-52,3.4286507744868946e-36,3.2623218554957117e-35,1.6882146901211349e-35,1.4350228609664677e-32,1.2632805585955114e-06,7.450380754714631e-06,1.0,1.601567981452581e-08,0.2849296546983812,7.075061865672163e-170,7.66026080963119e-252,9.813836560804008e-07,1.351092153547815e-49,1.4304519088376283e-200,2.6209150192859074e-211,3.7686102026912525e-10,2.9564705871343093e-167,2.928412143696248e-07,2.6048701340651083e-45
Decision Tree (MW - inCV),3.2969951677262184e-55,9.46252678616309e-85,3.7552558114447566e-104,2.0758236390278652e-112,1.0,1.1438508534894506e-42,2.2832004344498616e-47,5.604772490759765e-43,6.375490065637456e-17,1.6240165891593583e-32,6.968178752403686e-37,1.0,1.0,1.3598848857220343e-46,1.0,0.9664414352357117,7.587479491623629e-11,7.587479491623629e-11,4.4356818777414835e-23,5.15940348065059e-11,0.5562827406322828,9.072229497493237e-37,5.655310802042989e-40,1.0148784128881248e-46,1.4709328626133613e-25,9.971908031158427e-52,1.0,0.8925805522572285,0.5419019858260888,0.6266295548750482,0.10554540232026968,4.792279219160985e-21,2.229556656945887e-22,4.6168448545765465e-59,3.8489188885105405e-18,3.900733060105658e-34,3.1026130519667815e-44,1.8827041445098518e-103,2.6574448903578197e-93,1.0,1.2707226665180914e-64,2.652329837403103e-72,4.206998775098746e-103,1.3179248998416343e-42,6.535936853545e-95,1.0
Decision Tree (Wilcoxon - inCV),2.2118219733984436e-73,8.032288388730903e-106,1.2971587971990973e-126,7.261960643526151e-91,1.0,3.3359599089307446e-59,1.4991004152742906e-64,1.471228474838926e-59,1.6870286675889463e-28,1.9686863050042442e-47,1.5446394542305474e-52,0.0001744754089068179,0.00032643394059652883,8.315252319293614e-32,0.02955339804087017,1.0,1.2123529015830314e-20,1.2123529015830314e-20,1.0813618292504375e-12,7.229336256088775e-21,7.450380754714631e-06,1.3332532112106304e-23,2.942279769133002e-26,6.481055971191968e-32,1.3334890215300757e-14,3.4286507744868946e-36,0.8925805522572285,1.0,1.0,1.0,1.0,3.776796088721945e-11,3.678119735559344e-12,1.5155027381291548e-42,5.20247307174704e-09,1.883243979856115e-21,5.501306870352919e-61,7.207401193567688e-126,3.1508089049618576e-73,1.0,7.442425914468291e-84,2.7282997412200703e-92,3.101976999306503e-82,3.9246476975865216e-59,1.0675316009879774e-74,1.0
Decision Tree (Kruskal - inCV),1.0675316009879774e-74,2.53007025472549e-107,3.35071692802875e-128,1.9033403388092884e-89,1.0,2.056538878892439e-60,8.397718593662418e-66,9.023748080664769e-61,2.1648341519770512e-29,1.5226734946385442e-48,1.080334605017645e-53,6.999051321811399e-05,0.00013398749842054376,6.866633910929154e-31,0.014554786006712936,1.0,2.089459115176539e-21,2.089459115176539e-21,4.312286112827368e-12,1.2414560747195888e-21,2.6783068667399777e-06,8.420335460034548e-23,2.0717791865549213e-25,5.369836245288436e-31,5.914388650344341e-14,3.2623218554957117e-35,0.5419019858260888,1.0,1.0,1.0,1.0,1.3972209107757321e-10,1.4508735698509987e-11,1.7000479442390563e-41,1.712620079449286e-08,1.0946847902854008e-20,3.259494388461516e-62,1.8783479621932882e-127,6.407258989651554e-72,1.0,3.071973567450239e-85,1.0040376197059487e-93,7.1964364415072965e-81,2.4188359483258575e-60,2.2118219733984436e-73,1.0
Decision Tree (Chi-square - inCV),2.607671961626775e-74,7.002323161159727e-107,9.84735408172586e-128,7.305239005963491e-90,1.0,4.6701512345539856e-60,1.9653930022204116e-65,2.056538878892439e-60,3.960371132830958e-29,3.2383383056726425e-48,2.3684153573594423e-53,9.223692338553354e-05,0.0001744754089068179,3.694520387854417e-31,0.017924663190341007,1.0,3.516677810291829e-21,3.516677810291829e-21,2.894815446044222e-12,2.089459115176539e-21,3.6268488632733795e-06,4.914185427128059e-23,1.1738685552258881e-25,2.8926855529685646e-31,3.8122122268517766e-14,1.6882146901211349e-35,0.6266295548750482,1.0,1.0,1.0,1.0,9.474767945889894e-11,9.686236871441279e-12,8.384779871637859e-42,1.2086489233584144e-08,6.559695334678533e-21,7.49847245789531e-62,5.503245251586677e-127,2.652329837403103e-72,1.0,7.849650206133347e-85,2.6574448903578197e-93,2.870958663648013e-81,5.499528938260556e-60,9.10702801909329e-74,1.0
Decision Tree (KS - inCV),2.1500061199896718e-78,1.6339501649392447e-111,1.255529667774595e-132,1.4458033403608868e-85,1.0,8.102523584022349e-64,2.518818829188951e-69,3.485794185066177e-64,6.481055971191968e-32,1.1608932495442576e-51,5.980182999745689e-57,4.875112041523087e-06,9.900148315891104e-06,2.1377147480379633e-28,0.001705741227780601,1.0,1.3332532112106304e-23,1.3332532112106304e-23,1.7590981133744046e-10,7.675070206302542e-24,1.3191450317855703e-07,1.2123529015830314e-20,3.9830774397460384e-23,1.6870286675889463e-28,3.1251826444806286e-12,1.4350228609664677e-32,0.10554540232026968,1.0,1.0,1.0,1.0,4.51352723249428e-09,5.381573159530324e-10,1.1864779773569805e-38,4.0258587778068113e-07,1.2948818218767342e-18,1.1806149215568318e-65,7.161927633910466e-132,2.4022175067388174e-68,0.3263688764926418,4.082131588080748e-89,9.874914558573908e-98,3.973712122628173e-77,9.580238313553929e-64,8.847766385725011e-70,1.0
Naive Bayes (MW - inCV),4.221157952060802e-133,1.7006072167838613e-171,4.914185955745961e-195,1.2217653851410781e-40,1.4508735698509987e-11,2.1774326699174878e-115,3.6922516567760325e-122,7.659185014597607e-116,1.5544978785301845e-73,4.664871619780878e-100,8.575426469297182e-107,2.2590123005725216e-31,9.943974036650814e-31,0.00011408162338607644,1.1738685552258881e-25,2.980287864824427e-11,2.0338813015361212e-61,2.0338813015361212e-61,1.0,8.847564089778383e-62,1.5731341615304023e-34,0.14724431666016813,0.017924663190341007,0.00010260321031017933,1.0,1.2632805585955114e-06,4.792279219160985e-21,3.776796088721945e-11,1.3972209107757321e-10,9.474767945889894e-11,4.51352723249428e-09,1.0,1.0,9.047369974930573e-10,1.0,0.6760442036806621,1.1560653350961309e-117,3.3418375388677915e-194,2.707702280675265e-28,1.2783025862030024e-19,8.944430817325825e-146,8.849492616501471e-156,1.7899718948923755e-34,2.6803834270730027e-115,2.75848964018609e-29,8.424720785600319e-17
Naive Bayes (Wilcoxon - inCV),7.382396345002134e-136,1.934466815845994e-174,4.6359762066918026e-198,6.861278459211084e-39,1.3795310989527915e-12,4.99371397841197e-118,7.602948826527033e-125,1.7456471979681597e-118,8.619318575351315e-76,1.4046815955924177e-102,2.2816552501808967e-109,5.8945767481009215e-33,2.6894128993212204e-32,0.0005109753334239185,4.07125916583671e-27,2.894815446044222e-12,1.585342473863554e-63,1.585342473863554e-63,1.0,6.852203035607547e-64,3.4286507744868946e-36,0.40030757134409506,0.058487511797450965,0.00046264413790809956,1.0,7.450380754714631e-06,2.229556656945887e-22,3.678119735559344e-12,1.4508735698509987e-11,9.686236871441279e-12,5.381573159530324e-10,1.0,1.0,7.361868191592753e-09,1.0,1.0,2.564353236238763e-120,3.16778116170854e-197,8.198754461605741e-27,6.559695334678533e-21,1.3318259009539504e-148,1.1855675370572931e-158,7.606586860730308e-33,6.156423538026757e-118,8.794804375538306e-28,5.162524322311531e-18
Naive Bayes (Kruskal - inCV),7.486676230865867e-198,2.0997015303835256e-239,3.035160844574502e-264,4.0540339041552655e-10,2.730073828620997e-43,4.1453287482349513e-178,1.0493621329725016e-185,1.2796624799222957e-178,2.504388436715431e-129,1.2171007862236923e-160,2.316208187101621e-168,1.8241896723087406e-74,1.5544978785301845e-73,1.0,4.2385012518807156e-66,9.926783158941617e-43,2.1540325452995563e-114,2.1540325452995563e-114,2.1098797097106945e-08,7.598676109575605e-115,5.972865805169967e-79,0.030635381412295486,0.23251897666400131,1.0,6.261188886196796e-07,1.0,4.6168448545765465e-59,1.5155027381291548e-42,1.7000479442390563e-41,8.384779871637859e-42,1.1864779773569805e-38,9.047369974930573e-10,7.361868191592753e-09,1.0,5.5072107748510125e-12,0.004191240804927448,1.1472487562832533e-180,2.2608940351616068e-263,0.0003971357023379081,8.247692412982409e-57,9.900272840751546e-212,1.4404651452032128e-222,5.891520063512601e-07,5.228709032272766e-178,0.00014880619096338315,2.8717266240950084e-52
Naive Bayes (Chi-square - inCV),6.809183149147574e-127,7.639755840250582e-165,3.490919933388316e-188,9.730270199901003e-45,2.186644207678745e-09,1.8601115880521364e-109,4.0913841858001724e-116,6.667486986449235e-110,1.7072867842484656e-68,2.1098635982442898e-94,5.191237885867943e-101,7.006164171618218e-28,2.8617337695790968e-27,2.6783068667399777e-06,1.7985515008496995e-22,4.211617811856245e-09,9.676645969372251e-57,9.676645969372251e-57,1.0,4.341914650950902e-57,6.866633910929154e-31,0.010834886098552746,0.0008827588464282528,2.3726943126590512e-06,1.0,1.601567981452581e-08,3.8489188885105405e-18,5.20247307174704e-09,1.712620079449286e-08,1.2086489233584144e-08,4.0258587778068113e-07,1.0,1.0,5.5072107748510125e-12,1.0,0.07065547694147699,1.0830695537588845e-111,2.343457905387588e-187,8.315252319293614e-32,8.424720785600319e-17,2.1293680076618768e-139,2.76054872909109e-149,2.701132524443773e-38,2.2816552501808967e-109,7.606586860730308e-33,3.4993774454145134e-14
Naive Bayes (KS - inCV),4.671678924256244e-158,5.891429962596657e-198,3.844499059613057e-222,2.3415181298471067e-26,5.284860090891765e-22,2.1293680076618768e-139,1.4918042608890368e-146,7.056327610914631e-140,2.1098635982442898e-94,4.38966490401401e-123,2.8698963742979423e-130,1.1758999207549822e-46,6.912230571293977e-46,1.0,8.578911005955829e-40,1.3779866815502728e-21,4.991056477714831e-81,4.991056477714831e-81,1.0,1.9840965345908827e-81,2.160909490414038e-50,1.0,1.0,1.0,1.0,0.2849296546983812,3.900733060105658e-34,1.883243979856115e-21,1.0946847902854008e-20,6.559695334678533e-21,1.2948818218767342e-18,0.6760442036806621,1.0,0.004191240804927448,0.07065547694147699,1.0,8.351037287630633e-142,2.738856902205879e-221,2.1694894884466782e-16,2.372373409350037e-32,2.709174166632009e-171,1.083199490607754e-181,2.564435983304595e-21,2.650440856568984e-139,3.6085888247661614e-17,8.17879709589481e-29
Integrated-SelectFromModel (L1-LR selector) + LR,1.0,4.572758366206825e-07,1.1170655476985086e-14,2.527578979994931e-250,3.9655313519149595e-60,1.0,1.0,1.0,4.3485406538146195e-06,1.0,1.0,5.060224486122646e-32,1.1130982843732505e-32,4.8684919266123e-162,2.701132524443773e-38,9.023748080664769e-61,6.026312665673467e-11,6.026312665673467e-11,1.0682050376203136e-121,8.820854042867267e-11,5.693784860789417e-29,2.9201765881901383e-146,1.541906384585614e-151,3.0750866950007067e-162,1.992116526964688e-126,7.075061865672163e-170,3.1026130519667815e-44,5.501306870352919e-61,3.259494388461516e-62,7.49847245789531e-62,1.1806149215568318e-65,1.1560653350961309e-117,2.564353236238763e-120,1.1472487562832533e-180,1.0830695537588845e-111,8.351037287630633e-142,1.0,2.262594573094952e-14,9.87869057421078e-227,2.8502384078390068e-46,0.17662181034314325,0.0026385472143946685,5.663346842691377e-239,1.0,9.14743183812976e-229,1.368743091252401e-50
Integrated-SelectFromModel (L1-LR selector) + SVM,1.1296296352975046e-08,1.0,1.0,0.0,9.407908691476773e-125,2.4113227388438958e-15,1.4958350150524546e-12,3.790987360726161e-15,2.820519266850394e-40,7.585406273697117e-23,2.3462213047866804e-19,6.797473175280065e-86,7.02024570227544e-87,2.1270304961309625e-243,4.422223409515995e-95,1.370849836776158e-125,1.368743091252401e-50,1.368743091252401e-50,8.601011366939509e-199,2.9337386113919535e-50,2.870958663648013e-81,3.3791847064255124e-226,5.551905275519392e-232,1.2942857373346128e-243,3.875666674486388e-204,7.66026080963119e-252,1.8827041445098518e-103,7.207401193567688e-126,1.8783479621932882e-127,5.503245251586677e-127,7.161927633910466e-132,3.3418375388677915e-194,3.16778116170854e-197,2.2608940351616068e-263,2.343457905387588e-187,2.738856902205879e-221,2.262594573094952e-14,1.0,0.0,2.908206898119745e-106,4.5525012225540386e-05,0.007267862604809681,0.0,2.2060160891405497e-15,0.0,3.856040420779792e-112
Integrated-SelectFromModel (L1-LR selector) + KNN,1.382491447669917e-244,3.1237889990960983e-287,0.0,1.0,3.7265960114349485e-74,4.619983068603028e-224,5.551905275519392e-232,1.3516583819475815e-224,2.6284256854434897e-172,1.025678349248663e-205,7.544454397539159e-214,2.467611712034178e-111,2.9291581546312284e-110,5.20247307174704e-09,1.2785156022975179e-101,1.852961865689059e-73,4.475198536511814e-156,4.475198536511814e-156,4.673872485369815e-26,1.433254356736556e-156,1.7713011634202657e-116,1.4544584926132105e-14,1.4958350150524546e-12,5.970119898493814e-09,1.4788616018385166e-23,9.813836560804008e-07,2.6574448903578197e-93,3.1508089049618576e-73,6.407258989651554e-72,2.652329837403103e-72,2.4022175067388174e-68,2.707702280675265e-28,8.198754461605741e-27,0.0003971357023379081,8.315252319293614e-32,2.1694894884466782e-16,9.87869057421078e-227,0.0,1.0,1.2935132921824336e-90,6.615848040099968e-259,4.962799990992502e-270,1.0,5.902216010062487e-224,1.0,3.7044085381889844e-85
Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,1.9378209352140713e-57,2.2466569731700886e-87,5.71746773267856e-107,1.516364490954707e-109,1.0,1.1243709898385452e-44,1.830600125523686e-49,5.4227076065980074e-45,2.8668925233989406e-18,2.646222312836883e-34,9.024254165949725e-39,1.0,1.0,1.4981658713397222e-44,1.0,1.0,5.960088396880585e-12,5.960088396880585e-12,1.3779866815502728e-21,3.982834300470542e-12,0.18897341989913924,6.289543192627378e-35,4.6358392033134103e-38,1.1243709898385452e-44,5.50109126135569e-24,1.351092153547815e-49,1.0,1.0,1.0,1.0,0.3263688764926418,1.2783025862030024e-19,6.559695334678533e-21,8.247692412982409e-57,8.424720785600319e-17,2.372373409350037e-32,2.8502384078390068e-46,2.908206898119745e-106,1.2935132921824336e-90,1.0,5.4023799557915224e-67,8.932364025278872e-75,2.566494512325752e-100,1.2967455588464245e-44,3.307966010512152e-92,1.0
Integrated-SelectFromModel (RF selector) + RF,1.0,0.6427960361627485,2.938694718135104e-05,7.666975712031966e-283,6.999307245391606e-83,0.07065547694147699,0.8713797821100484,0.0845128033232876,5.545643511098162e-16,1.873629961260467e-05,0.0010575214585424693,3.9816225275009656e-50,6.350279240494944e-51,1.9578193223949097e-192,1.1927041295024169e-57,1.3040225290232642e-83,4.4356818777414835e-23,4.4356818777414835e-23,4.5568442334205587e-150,7.585406273697117e-23,2.1212867350830818e-46,5.753822771727996e-176,1.7362599438886184e-181,1.214277783170925e-192,4.355797260502969e-155,1.4304519088376283e-200,1.2707226665180914e-64,7.442425914468291e-84,3.071973567450239e-85,7.849650206133347e-85,4.082131588080748e-89,8.944430817325825e-146,1.3318259009539504e-148,9.900272840751546e-212,2.1293680076618768e-139,2.709174166632009e-171,0.17662181034314325,4.5525012225540386e-05,6.615848040099968e-259,5.4023799557915224e-67,1.0,1.0,2.4224421382795183e-271,0.0683310930950989,5.6471274118787e-261,5.375089506328482e-72
Integrated-SelectFromModel (RF selector) + LR,1.0,1.0,0.0050338807098903055,4.811274701303756e-294,2.772321757710244e-91,0.000801286188172035,0.02298654925526184,0.001011044777607052,2.4837874395406147e-20,2.988764010436952e-08,4.3485406538146195e-06,4.341914650950902e-57,6.234016361999855e-58,4.348615407589722e-203,5.460641310539415e-65,4.868623284022334e-92,3.874791468005762e-28,3.874791468005762e-28,3.828805339088005e-160,7.006164171618218e-28,3.7842459352853995e-53,1.9898449353500675e-186,5.0933586942428225e-192,2.6835067530047416e-203,3.03234304057145e-165,2.6209150192859074e-211,2.652329837403103e-72,2.7282997412200703e-92,1.0040376197059487e-93,2.6574448903578197e-93,9.874914558573908e-98,8.849492616501471e-156,1.1855675370572931e-158,1.4404651452032128e-222,2.76054872909109e-149,1.083199490607754e-181,0.0026385472143946685,0.007267862604809681,4.962799990992502e-270,8.932364025278872e-75,1.0,1.0,1.63415028806214e-282,0.0007654425554223569,4.1605519990560914e-272,5.4795414631750395e-80
Integrated-SelectFromModel (RF selector) + KNN,6.009638426865084e-257,9.157389532370913e-300,0.0,1.0,3.319473191016872e-83,2.7882274499405918e-236,2.9121759867345515e-244,8.079504234623908e-237,5.926281982384478e-184,8.911925036630443e-218,5.5191289876578016e-226,1.0682050376203136e-121,1.3595952574681944e-120,7.802783660794948e-13,1.0830695537588845e-111,1.7764004183339232e-82,1.864828458868375e-167,1.864828458868375e-167,5.060224486122646e-32,5.853592856415244e-168,5.503245251586677e-127,2.8675576946931394e-19,5.808568164276086e-17,9.157866226685726e-13,2.75848964018609e-29,3.7686102026912525e-10,4.206998775098746e-103,3.101976999306503e-82,7.1964364415072965e-81,2.870958663648013e-81,3.973712122628173e-77,1.7899718948923755e-34,7.606586860730308e-33,5.891520063512601e-07,2.701132524443773e-38,2.564435983304595e-21,5.663346842691377e-239,0.0,1.0,2.566494512325752e-100,2.4224421382795183e-271,1.63415028806214e-282,1.0,3.5689999651126536e-236,1.0,1.1746286264989717e-94
Integrated-RFECV (L1-LR) + LR,1.0,8.393008189870042e-08,1.0621720135643415e-15,1.6570374745360244e-247,2.7644425065939437e-58,1.0,1.0,1.0,1.968527145679223e-05,1.0,1.0,1.2703236750094553e-30,2.8926855529685646e-31,1.8974557783284052e-159,9.072229497493237e-37,6.387466701736493e-59,4.311917444843408e-10,4.311917444843408e-10,2.6153788632528594e-119,6.218968403575216e-10,1.2519163836291457e-27,9.752665144149864e-144,5.415658332457969e-149,1.202058399042434e-159,5.193322782091724e-124,2.9564705871343093e-167,1.3179248998416343e-42,3.9246476975865216e-59,2.4188359483258575e-60,5.499528938260556e-60,9.580238313553929e-64,2.6803834270730027e-115,6.156423538026757e-118,5.228709032272766e-178,2.2816552501808967e-109,2.650440856568984e-139,1.0,2.2060160891405497e-15,5.902216010062487e-224,1.2967455588464245e-44,0.0683310930950989,0.0007654425554223569,3.5689999651126536e-236,1.0,5.5191289876578016e-226,7.170010821817847e-49
Integrated-RFECV (L1-LR) + KNN,1.2166905483444432e-246,2.559572099702138e-289,0.0,1.0,1.2350903278031494e-75,4.3186233021278726e-226,5.055854406285522e-234,1.2626184198864628e-226,3.087418304462526e-174,1.0213789151832045e-207,7.281298867176663e-216,4.8743030691391895e-113,5.827842251394612e-112,1.307621395117828e-09,2.814668228189395e-103,6.243275990179436e-75,5.866108757536182e-158,5.866108757536182e-158,5.143272027746489e-27,1.8721597078605535e-158,3.2810321685333483e-118,2.635437869355109e-15,3.071636673774679e-13,1.5128501091212983e-09,1.799593705791838e-24,2.928412143696248e-07,6.535936853545e-95,1.0675316009879774e-74,2.2118219733984436e-73,9.10702801909329e-74,8.847766385725011e-70,2.75848964018609e-29,8.794804375538306e-28,0.00014880619096338315,7.606586860730308e-33,3.6085888247661614e-17,9.14743183812976e-229,0.0,1.0,3.307966010512152e-92,5.6471274118787e-261,4.1605519990560914e-272,1.0,5.5191289876578016e-226,1.0,1.0248617402670296e-86
Integrated-RFECV (L1-LR) + Naive Bayes,3.8474276159692945e-62,7.01329752192143e-93,7.374699042880232e-113,1.0288305762827993e-103,1.0,6.170201465287153e-49,6.736666265640105e-54,2.8877870242102483e-49,3.516677810291829e-21,4.0508304590061133e-38,8.614063889466899e-43,0.13739807346862926,0.20972578996019528,1.8553212689067964e-40,1.0,1.0,2.262594573094952e-14,2.262594573094952e-14,1.1748152164232283e-18,1.4544584926132105e-14,0.014554786006712936,2.8926855529685646e-31,3.009832367244868e-34,1.4035505477497674e-40,6.559695334678533e-21,2.6048701340651083e-45,1.0,1.0,1.0,1.0,1.0,8.424720785600319e-17,5.162524322311531e-18,2.8717266240950084e-52,3.4993774454145134e-14,8.17879709589481e-29,1.368743091252401e-50,3.856040420779792e-112,3.7044085381889844e-85,1.0,5.375089506328482e-72,5.4795414631750395e-80,1.1746286264989717e-94,7.170010821817847e-49,1.0248617402670296e-86,1.0
