Model_A,Model_B,W,p_value,z,r_effect,p_adj
Logistic Regression (All),Integrated-SelectFromModel (L1-LR selector) + KNN,6.0,2.4868995751603507e-14,7.622561816573916,1.0779930301026128,2.1188384380366188e-11
Logistic Regression (All),Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Logistic Regression (All),Integrated-SelectFromModel (RF selector) + RF,59.5,2.4103411268634136e-08,-5.579627570318424,-0.7890784982935155,1.5353872978119945e-05
Logistic Regression (All),Integrated-SelectFromModel (RF selector) + LR,313.0,0.0013800985654270903,3.198781222960647,0.4523759788575342,0.5396185390819923
Logistic Regression (All),Integrated-SelectFromModel (RF selector) + KNN,8.0,4.440892098500626e-14,7.547383578188932,1.0673612216706767,3.7125857943465235e-11
Logistic Regression (All),Integrated-RFECV (L1-LR) + LR,1.0,8.029280680234973e-10,6.144347661777988,0.8689419795221844,5.92560914201341e-07
Logistic Regression (All),Integrated-RFECV (L1-LR) + KNN,0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Logistic Regression (All),Integrated-RFECV (L1-LR) + Naive Bayes,0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
SVM (All),K-Neighbors (All),40.0,1.5448975432263978e-11,6.743618602811567,0.953691688756762,1.2220139566920807e-08
SVM (All),Decision Tree (All),129.0,9.051156624195755e-08,-5.3448107590660605,-0.7558703863788859,5.584563637128781e-05
SVM (All),Naive Bayes (All),145.5,2.039799273635801e-06,4.749440769198381,0.6716723549488055,0.0011422875932360485
SVM (All),Random Forest (MW - inCV),19.0,2.3640056174058536e-09,-5.970587633636584,-0.8443686006825941,1.6406198984796625e-06
SVM (All),Random Forest (Wilcoxon - inCV),14.0,1.7565587728239223e-09,-6.0188543081203045,-0.8511945392491466,1.2416181725411653e-06
SVM (All),Random Forest (Kruskal - inCV),15.0,1.8643989447286525e-09,-6.009200973223561,-0.8498293515358362,1.303214862365328e-06
SVM (All),Random Forest (Chi-square - inCV),5.0,1.023291039922917e-09,-6.105734322191008,-0.8634812286689421,7.398394218642691e-07
SVM (All),Random Forest (KS - inCV),32.0,5.0628144200557475e-09,-5.845094279978903,-0.8266211604095565,3.4376509912178526e-06
SVM (All),Logistic Regression (MW - inCV),26.0,3.569193464674167e-09,-5.903014289359369,-0.8348122866894198,2.4484667167664787e-06
SVM (All),Logistic Regression (Wilcoxon - inCV),23.0,2.9925050227144815e-09,-5.932008843235487,-0.8389127358220761,2.070813475718421e-06
SVM (All),Logistic Regression (Kruskal - inCV),0.0,7.555220876380673e-10,-6.154000996674732,-0.870307167235495,5.733116096700186e-07
SVM (All),Logistic Regression (Chi-square - inCV),23.0,2.993134945020048e-09,-5.9319742940496045,-0.8389078498293516,2.070813475718421e-06
SVM (All),Logistic Regression (KS - inCV),31.0,4.218847493575595e-12,-6.92964944110299,-0.9800004222098986,3.3708591473669003e-09
SVM (All),SVM (MW - inCV),53.0,8.060396794462577e-11,-6.499469075513929,-0.919163731481632,6.270988706091885e-08
SVM (All),SVM (Wilcoxon - inCV),52.5,1.630812047816262e-08,-5.647200914595636,-0.7986348122866895,1.0502429587936728e-05
SVM (All),SVM (Kruskal - inCV),38.5,7.366529422828334e-09,-5.782347603150062,-0.8177474402730377,4.928208183872155e-06
SVM (All),SVM (Chi-square - inCV),49.0,2.0785232513790256e-08,-5.605335186909647,-0.792714104297475,1.3281763576311974e-05
SVM (All),SVM (KS - inCV),101.5,2.2890486431059124e-07,-5.174187504655148,-0.7317406143344711,0.00013688510885773357
SVM (All),K-Neighbors (MW - inCV),59.0,1.616786704516926e-10,-6.393926970893299,-0.9042378239060425,1.2497761225915838e-07
