Classifier,CV_Folds,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,AUC_ROC_Mean,AUC_ROC_Std,MCC_Mean,MCC_Std,Top_Feature_1,Top_Feature_2,Top_Feature_3,True_Negative,False_Positive,False_Negative,True_Positive,Selected_Features_Count
Logistic Regression (Wilcoxon - inCV),100,0.779830191074716,0.03389254089107294,0.8653545146062658,0.023196595992709578,0.9207345779179055,0.01498712359488695,0.8172213733978441,0.039056155613317,0.7437997246549035,0.05308262702929987,0.28264910278387056,0.07948773198045611,hydrophobic_janin,X5_K,boman,1234,1086,2813,12577,
Logistic Regression (Kruskal - inCV),100,0.687340189170317,0.04248017128336172,0.7916993897581165,0.034087235062032685,0.9355145423129391,0.01804865530265035,0.6880608607079195,0.05193707921225759,0.7493950350232322,0.054960145199643186,0.2625528374229502,0.06801285521002733,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,1584,736,4801,10589,
Logistic Regression (Chi-square - inCV),100,0.7801183901479085,0.034870812656464245,0.8650456123435412,0.02426198886541882,0.9237906490282944,0.015681989870217926,0.8145021645021644,0.04170870079985768,0.7391047309349742,0.05927112734361583,0.29456042943059396,0.07979326639449547,hydrophobic_janin,hydrophobic_kyte-doolittle,hydrophobic_eisenberg,1281,1039,2855,12535,
Logistic Regression (KS - inCV),100,0.7599089062400811,0.03858340267022293,0.8503718351916593,0.02765904334906816,0.9238256600270957,0.016930558455010392,0.789105339105339,0.045522306781551,0.7377373040784166,0.058282188562269736,0.2766725865489274,0.08042373334441831,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,1314,1006,3246,12144,
SVM (MW - inCV),100,0.8051926617152289,0.028179632991571352,0.8839384041371814,0.018264280850459082,0.9147410302482177,0.013225425618048741,0.8557558781088193,0.031414257387892275,0.7342373205320775,0.05952477757686965,0.2836403213113211,0.07960140664267709,hydrophobic_janin,hydrophobic_eisenberg,X5_K,1090,1230,2220,13170,
SVM (Wilcoxon - inCV),100,0.8028727861359741,0.031973509848068696,0.8819545186022398,0.021346861533924292,0.9167734464206848,0.014606366854232672,0.8506803327391564,0.03840478478470756,0.7318564804050738,0.056403889726039866,0.2900638701841778,0.0810930994400071,hydrophobic_janin,X5_K,boman,1127,1193,2298,13092,
SVM (Kruskal - inCV),100,0.7135945534183965,0.04414604687681228,0.8136021295317696,0.03401963967138675,0.9310198642357734,0.01780471056429742,0.7247109752992106,0.056412647388291166,0.7313197842817408,0.056166321194847484,0.2660744343279644,0.07107625777168176,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,1485,835,4237,11153,
SVM (Chi-square - inCV),100,0.8025918872595696,0.030722343136491876,0.8819705528496046,0.0206128094596836,0.9153956155337536,0.014451998304642869,0.8519234360410831,0.03801080299356989,0.7311639219807379,0.06291371340201646,0.28303333302098804,0.08061183911327402,hydrophobic_janin,hydrophobic_kyte-doolittle,hydrophobic_eisenberg,1103,1217,2279,13111,
SVM (KS - inCV),100,0.7867901352123404,0.03161654753322399,0.8711411580182561,0.021064187777075152,0.9153009143735206,0.015427110733362736,0.8318521347933111,0.035583437515605054,0.7199524973581879,0.06066690328150066,0.26677009217894965,0.08274116768873384,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,1132,1188,2588,12802,
K-Neighbors (MW - inCV),100,0.6967780740176474,0.03675207362356993,0.802325733100463,0.027381417275194875,0.922932523339579,0.01740959128611419,0.7104681266445972,0.03906159215386442,0.7187922370858751,0.05797292450184179,0.22808613910718972,0.07586720955725783,hydrophobic_janin,hydrophobic_eisenberg,X5_K,1406,914,4456,10934,
K-Neighbors (Wilcoxon - inCV),100,0.693664063987812,0.0344618778221298,0.7997481232513975,0.026614557919103648,0.9232228529357416,0.016526431828488522,0.7065015703250996,0.04034618311438963,0.7152681693010976,0.052570870165128666,0.22635106671858843,0.06701100383018604,hydrophobic_janin,X5_K,boman,1412,908,4517,10873,
