,Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
Decision Tree (Chi-square - inCV),7.578349417925781e-27,1.0,1.160354053585004e-18,7.05825659173155e-46,0.011953115972833432,3.12830048819118e-40,1.7202807685846482e-09,2.2043078073417393e-07,0.0003026057572549643,1.0405945635135583e-12,1.4599514649590934e-07,2.4864725328882736e-07,5.7785156363595855e-08,2.1194361967024788e-12,0.0007110067564972161,0.002872908913322818,0.03547589476413821,0.2283183373714777,0.46400956655799647,0.30287772288170706,1.0,1.0,1.0,1.0,0.029576295536370784,1.0,1.0,1.0,1.0,1.0,1.0,0.05006251803195567,0.0032479113487186182,4.154208944038465e-05,6.152038958772939e-19,1.6581468702476286e-10,2.761514729271662e-11,6.954906634614622e-24,1.9493647716900936e-43,6.042460576697825e-51,3.3894975069920773e-25,0.07379581137267277,5.56355336568041e-44,1.597848113042491e-09,8.908005339829434e-43,1.4000992335499017e-49
Decision Tree (KS - inCV),1.6630866628506533e-30,1.0,9.373904501398883e-16,1.9011863743027659e-41,0.1856098540488041,4.567014736412187e-36,8.108833091242256e-12,1.7652964629009206e-09,5.907227410355805e-06,2.3610177135891766e-15,1.118329164669654e-09,2.015843307742265e-09,3.9911530725316015e-10,5.139156816939244e-15,1.6093584291625574e-05,8.325656189150909e-05,0.0015931762091705123,0.01532869574334236,0.03676629806569004,0.02168953876307923,1.0,1.0,1.0,1.0,0.0012828991071768248,1.0,1.0,1.0,0.9876046623170233,1.0,1.0,0.002415290078935912,9.55771779120487e-05,6.118637137324812e-07,4.445007996125022e-22,6.123207332916979e-13,5.137798121909786e-09,1.2618143879757655e-20,4.017158319004819e-39,2.735964192919797e-46,9.338450537965652e-29,0.7919770039840318,1.216941071811423e-39,2.0071327125673898e-07,1.7122003907678246e-38,5.512060243217031e-45
Naive Bayes (MW - inCV),1.7671175601426885e-11,0.006348635883391169,5.52497729355696e-37,8.994233123299841e-72,1.6570755413618743e-12,7.988548134392214e-65,0.36172619430175945,1.0,1.0,0.00936369344159992,1.0,1.0,1.0,0.013582833051138552,1.0,1.0,1.0,1.0,1.0,1.0,0.12958557046847397,0.049435662867559814,0.003726068944016179,1.0,1.0,0.0004639478100207461,0.002333715569438717,0.009978035368216486,1.0,0.05006251803195567,0.002415290078935912,1.0,1.0,1.0,2.3824831315847792e-06,0.12155911255337047,1.4605243085762822e-26,5.56355336568041e-44,8.80932984325894e-69,6.448879700485015e-78,2.2661313988868156e-10,6.036239920998597e-11,1.8859012339772192e-69,6.407972582539906e-24,5.706487467494887e-68,2.860737423965798e-76
Naive Bayes (Wilcoxon - inCV),2.1858685739802745e-09,0.00029349579844442023,8.3700147121172e-41,7.053485264006978e-77,6.920776766545405e-15,1.0297037098347666e-69,1.0,1.0,1.0,0.12155911255337047,1.0,1.0,1.0,0.16583435087223972,1.0,1.0,1.0,1.0,1.0,1.0,0.01009388740844263,0.0031978185246980956,0.00015818538845605232,0.7559077906828956,1.0,1.4143342095891623e-05,9.228990047302511e-05,0.0004886776378551219,1.0,0.0032479113487186182,9.55771779120487e-05,1.0,1.0,1.0,9.73753331051654e-05,0.9717510324899566,7.275977524727788e-30,4.16139420402976e-48,8.53187780809709e-74,3.280428223005181e-83,2.2408470322581052e-08,3.480687854521373e-13,1.7427538220523245e-74,4.4874964610445904e-27,5.860247827139544e-73,1.6379089549598315e-81
Naive Bayes (Kruskal - inCV),7.064223704209872e-07,2.278046361783974e-06,3.614581088884735e-46,6.158184439594715e-84,2.339666246767929e-18,1.7545787114537406e-76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00016405616035019313,4.0748322492055274e-05,1.1099823876786059e-06,0.03845655275659922,1.0,6.715352291497265e-08,5.840062765936413e-07,4.2201388849987286e-06,0.3463310891455451,4.154208944038465e-05,6.118637137324812e-07,1.0,1.0,1.0,0.006558490473341886,1.0,1.4797025514806278e-34,6.996402316864435e-54,9.87467666971895e-81,1.6703033365520095e-90,5.413589170248139e-06,1.7664708903906635e-16,1.8900662185808312e-81,1.4595016518745238e-31,7.338981152577665e-80,9.576893271317017e-89
Naive Bayes (Chi-square - inCV),1.0,4.077963453957183e-21,5.367859442975595e-76,2.2699085281703007e-121,1.9393204906387346e-39,1.2451493755916382e-112,1.0,0.1994456272757465,0.0011724298100999843,1.0,0.24930262564919187,0.18763492950977811,0.397207883691673,1.0,0.0005071101753033607,0.00011194654354601668,4.038225150506725e-06,1.737622461961118e-07,4.170668010777767e-08,1.0067033571157205e-07,7.309221087646699e-18,5.934604370261486e-19,1.2023211054764703e-21,3.1673625758323216e-13,5.302457670631585e-06,1.1422414972143936e-23,4.113669208026191e-22,1.1688815547321989e-20,4.024611823456544e-11,6.152038958772939e-19,4.445007996125022e-22,2.3824831315847792e-06,9.73753331051654e-05,0.006558490473341886,1.0,1.0,3.0366885889990483e-61,1.5800303940069918e-85,1.2665798931761913e-117,5.272952528000942e-129,1.0,9.151572117288142e-37,1.8288233442060395e-118,2.3752942675644456e-57,1.3262638625578434e-116,5.7640482150665575e-127
Naive Bayes (KS - inCV),0.01532869574334236,3.463308464885284e-12,4.423714444217697e-59,1.9345540057622435e-100,3.7719830074696324e-27,2.2351835064436124e-92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16583435087223972,0.024127457620242414,0.009835026484795754,0.017042418331336923,1.0895039017190941e-09,1.6137111624727073e-10,1.3355849373796962e-12,2.8674826342959075e-06,0.19173603553468982,3.390755206173807e-14,5.756402183036604e-13,7.878987792705025e-12,9.228990047302511e-05,1.6581468702476286e-10,6.123207332916979e-13,0.12155911255337047,0.9717510324899566,1.0,1.0,1.0,5.6482081089710616e-46,1.1846349099015189e-67,5.577546491880969e-97,1.6253765590050385e-107,0.058355352836258714,6.679992035139577e-25,9.36013895417398e-98,1.4434996603796374e-42,4.8639987657494246e-96,1.2699258232675331e-105
Integrated-SelectFromModel (L1-LR selector) + LR,3.4821454685389417e-74,1.1478961518760789e-09,1.0,1.8549163305021015e-10,0.1842481714033431,1.1098351947320346e-07,5.863028374812528e-44,1.349652145230278e-39,1.7185781530882133e-32,3.481330083673749e-50,5.55659758671075e-40,1.7489686717584137e-39,7.947258068887503e-41,1.3228122327858684e-49,1.4595016518745238e-31,5.281495819773747e-30,5.345148036203623e-27,1.61991363646642e-24,1.723519200570589e-23,4.06473815016061e-24,3.677607701904875e-12,2.8402540238344467e-11,2.6356788381953214e-09,1.24433240775086e-16,3.169815324199235e-27,5.370126124483839e-08,5.413567051250358e-09,5.436984070895776e-10,3.789499328318618e-19,2.761514729271662e-11,5.137798121909786e-09,1.4605243085762822e-26,7.275977524727788e-30,1.4797025514806278e-34,3.0366885889990483e-61,5.6482081089710616e-46,1.0,0.3581617314292091,3.0897902291630317e-09,4.0766285809870145e-13,1.4485068947756226e-71,0.033466227700590545,1.6827442446024606e-09,1.0,6.51670868169575e-09,2.182684075418387e-12
Integrated-SelectFromModel (L1-LR selector) + SVM,2.262430172240223e-100,1.4057426687868327e-21,1.0,0.014906634597761618,1.9721281831988072e-08,0.43152342989568315,3.002171116679848e-65,5.236072341797061e-60,2.3643318863442773e-51,1.2422289760340653e-72,1.7914898906976884e-60,7.169525070261336e-60,1.712924847506395e-61,5.976316216150436e-72,3.288105618355931e-50,2.790769427974134e-48,1.5726715338991278e-44,2.1130951594209327e-41,4.275887816762834e-40,6.784739529194959e-41,4.189315694053269e-25,7.240122512285111e-24,4.7666399041706864e-21,3.5653666588234736e-31,8.106352899901811e-45,3.9290388107435794e-19,1.3620545533006332e-20,4.809971584717404e-22,1.7129407649603374e-34,6.954906634614622e-24,1.2618143879757655e-20,5.56355336568041e-44,4.16139420402976e-48,6.996402316864435e-54,1.5800303940069918e-85,1.1846349099015189e-67,0.3581617314292091,1.0,0.0696149438332881,0.000414878246971676,2.199363643352803e-97,8.045414058596417e-10,0.05006251803195567,0.05117236277487584,0.10348393573113147,0.0011314143286753472
Integrated-SelectFromModel (L1-LR selector) + KNN,1.832565612934925e-134,2.1669660348469995e-40,0.000414878246971676,1.0,7.759902732496586e-22,1.0,3.6238268888697516e-94,5.312088359897231e-88,1.0567788932978234e-77,8.934606003243077e-103,1.4951973401597758e-88,7.701941872072014e-88,9.408924111908088e-90,5.5348053022928225e-102,2.4891271000406317e-76,5.269511474926002e-74,1.8859012339772192e-69,1.2844243979649952e-65,5.255942371673748e-64,5.40382376951558e-65,4.9389184176318444e-45,2.0562229105010807e-43,1.0972180405644406e-39,7.650016720518234e-53,8.420477875565309e-70,4.077823000728523e-37,4.452413862194935e-39,5.220169883322742e-41,4.9799254384307113e-57,1.9493647716900936e-43,4.017158319004819e-39,8.80932984325894e-69,8.53187780809709e-74,9.87467666971895e-81,1.2665798931761913e-117,5.577546491880969e-97,3.0897902291630317e-09,0.0696149438332881,1.0,1.0,4.298195822935146e-131,5.903700987839198e-24,1.0,5.700579689116521e-11,1.0,1.0
Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,1.9264703076712501e-146,1.1599180573284998e-47,5.450938184141601e-07,1.0,2.0384060560476863e-27,1.0,1.409194118475303e-104,3.9861089514609404e-98,2.526759711688041e-87,1.4516020341786963e-113,1.0572236573288512e-98,5.869765456296458e-98,5.811798089792678e-100,9.72779379457625e-113,7.038681518728736e-86,1.9745825530029564e-83,1.265611964707018e-78,1.4167080427304624e-74,7.186771187756444e-73,6.477740813236965e-74,1.1597530604986157e-52,6.399995169393015e-51,6.70617138811658e-47,5.040792759909038e-61,5.397850157320543e-79,4.0052003787732596e-44,3.0577396237027e-46,2.491562567811617e-48,1.7811964880722143e-65,6.042460576697825e-51,2.735964192919797e-46,6.448879700485015e-78,3.280428223005181e-83,1.6703033365520095e-90,5.272952528000942e-129,1.6253765590050385e-107,4.0766285809870145e-13,0.000414878246971676,1.0,1.0,5.88764045005187e-143,9.148474534560794e-30,1.0,3.799209024869843e-15,1.0,1.0
Integrated-SelectFromModel (RF selector) + RF,1.0,1.1469395747716496e-27,2.7187680074413326e-87,5.2968302674200423e-135,5.531653743691466e-48,7.080272839345869e-126,0.016301206336976886,0.0006248642826569534,5.573817225845127e-07,0.5433366034647884,0.0008567345950889132,0.0005693245422404672,0.0016812428898718814,0.4176536474469009,1.8696027351120946e-07,2.6822579832274513e-08,4.3393744580433047e-10,9.127553710456744e-12,1.6088321566939891e-12,4.697413322201366e-12,5.670691854530336e-24,3.252518371931666e-25,2.875565643280703e-28,1.2462587185321592e-18,6.078088666645011e-10,1.5193547854067215e-30,8.540776863364539e-29,3.7719830074696324e-27,3.813483247598983e-16,3.3894975069920773e-25,9.338450537965652e-29,2.2661313988868156e-10,2.2408470322581052e-08,5.413589170248139e-06,1.0,0.058355352836258714,1.4485068947756226e-71,2.199363643352803e-97,4.298195822935146e-131,5.88764045005187e-143,1.0,4.6779009616718746e-45,5.698636700856345e-132,2.1525339523408056e-67,4.9950436422687215e-130,7.809586525752337e-141
Integrated-SelectFromModel (RF selector) + LR,3.407098245299368e-47,0.4176536474469009,1.9029013698529167e-06,7.929698162983611e-26,1.0,1.5815488930686272e-21,2.2018875198433333e-23,3.869262437624923e-20,5.139156816939244e-15,4.107546402427759e-28,2.006732326072487e-20,4.677375779618123e-20,4.7666399041706864e-21,1.1469395747716496e-27,2.290087345761235e-14,2.795552259238971e-13,3.0898703939817653e-11,1.3546741096170689e-09,6.186068468537957e-09,2.4314439752158603e-09,0.027427379536431942,0.07469256560991569,0.5936575211897045,0.0001032073459817527,2.1770666378290645e-11,1.0,0.8054577012383788,0.30092238220694395,3.2911207931762265e-06,0.07379581137267277,0.7919770039840318,6.036239920998597e-11,3.480687854521373e-13,1.7664708903906635e-16,9.151572117288142e-37,6.679992035139577e-25,0.033466227700590545,8.045414058596417e-10,5.903700987839198e-24,9.148474534560794e-30,4.6779009616718746e-45,1.0,2.265600818889229e-24,0.24671584400562419,1.8693282609872235e-23,1.068314827224724e-28
Integrated-SelectFromModel (RF selector) + KNN,2.3833760918335558e-135,6.441683094599122e-41,0.0002659266601169612,1.0,3.1118134712693006e-22,1.0,6.197114238393095e-95,9.576893271317017e-89,2.0779765657633831e-78,1.4309975333945448e-103,2.6861829884333255e-89,1.388964258072382e-88,1.6703033365520095e-90,8.934606003243077e-103,4.9719169039367945e-77,1.0742556959942557e-74,4.019952380779455e-70,2.837611898135503e-66,1.1790734368625816e-64,1.2041652197849437e-65,1.3773238886165303e-45,5.863028374812528e-44,3.2935251154188633e-40,1.9400955760698225e-53,1.7867902457819042e-70,1.2674004953149902e-37,1.349652145230278e-39,1.5367713213427728e-41,1.2032085248808229e-57,5.56355336568041e-44,1.216941071811423e-39,1.8859012339772192e-69,1.7427538220523245e-74,1.8900662185808312e-81,1.8288233442060395e-118,9.36013895417398e-98,1.6827442446024606e-09,0.05006251803195567,1.0,1.0,5.698636700856345e-132,2.265600818889229e-24,1.0,2.92118644593488e-11,1.0,1.0
Integrated-RFECV (L1-LR) + LR,6.022319154372703e-70,4.979753482793392e-08,1.0,2.7082355622988954e-12,1.0,2.698701931657196e-09,1.2779403744815038e-40,2.0466079375275496e-36,1.3818882764652522e-29,1.2467200326861727e-46,8.71110596403558e-37,2.6297541133417814e-36,1.3321909627453754e-37,4.518880499455415e-46,1.068314827224724e-28,3.3084013364709e-27,2.4607481240924365e-24,5.639771994392491e-22,5.347383014876744e-21,1.352925294655451e-21,2.4615298183313394e-10,1.6397618282925925e-09,1.0842451956220656e-07,1.6472280307110736e-14,1.4910183135817818e-24,1.734746064824994e-06,2.105690816327841e-07,2.484266794864398e-08,7.079595127803837e-17,1.597848113042491e-09,2.0071327125673898e-07,6.407972582539906e-24,4.4874964610445904e-27,1.4595016518745238e-31,2.3752942675644456e-57,1.4434996603796374e-42,1.0,0.05117236277487584,5.700579689116521e-11,3.799209024869843e-15,2.1525339523408056e-67,0.24671584400562419,2.92118644593488e-11,1.0,1.283725669163485e-10,2.290087345761235e-14
Integrated-RFECV (L1-LR) + KNN,2.1828768096666464e-133,9.386392248379563e-40,0.0007008306211174104,1.0,2.3485956212735807e-21,1.0,3.0863401466876518e-93,4.2401395578625805e-87,7.559321125428673e-77,8.218517829830191e-102,1.2026115840709948e-87,6.137688909994416e-87,7.659380809610386e-89,5.0650239726265524e-101,1.7592811272049257e-75,3.6241547818263144e-73,1.2300521650769228e-68,7.988548134392214e-65,3.211358080724822e-63,3.338842434746102e-64,2.3116212886887976e-44,9.392724512894782e-43,4.6842186881984806e-39,4.030178601824811e-52,5.515039779599133e-69,1.674710885136312e-36,1.8962611215466095e-38,2.281640596534504e-40,2.782558998971866e-56,8.908005339829434e-43,1.7122003907678246e-38,5.706487467494887e-68,5.860247827139544e-73,7.338981152577665e-80,1.3262638625578434e-116,4.8639987657494246e-96,6.51670868169575e-09,0.10348393573113147,1.0,1.0,4.9950436422687215e-130,1.8693282609872235e-23,1.0,1.283725669163485e-10,1.0,1.0
Integrated-RFECV (L1-LR) + Naive Bayes,2.6749504704691284e-144,2.4479164021897593e-46,1.9441777760239878e-06,1.0,2.1605142610650094e-26,1.0,1.045430952102376e-102,2.6244402186079025e-96,1.365058646127562e-85,1.251329450812155e-111,7.033133436469003e-97,3.86062118827921e-96,3.9861089514609404e-98,8.274731483077254e-111,3.6997242526096033e-84,9.892805965729161e-82,5.7173960309471694e-77,5.860247827139544e-73,2.8597337325815477e-71,2.6350964069791577e-72,2.817750478171622e-51,1.4818801859134605e-49,1.3773238886165303e-45,1.5229662526880012e-59,2.462831811422496e-77,7.57898846851288e-43,6.151375117410097e-45,5.35443480536038e-47,5.9778677735854575e-64,1.4000992335499017e-49,5.512060243217031e-45,2.860737423965798e-76,1.6379089549598315e-81,9.576893271317017e-89,5.7640482150665575e-127,1.2699258232675331e-105,2.182684075418387e-12,0.0011314143286753472,1.0,1.0,7.809586525752337e-141,1.068314827224724e-28,1.0,2.290087345761235e-14,1.0,1.0
